Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PRUmed Benefit Limitation,,,,2019-09-19 15:23:19,2019-09-19 15:25:29,2m - 9.485s,INCOMPLETE
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:23:20,2019-09-19 15:23:22,1.867s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:23:20,2019-09-19 15:23:22,1.234s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.013s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.035s,PASSED
println(parsingResponse),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.019s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.016s,PASSED
println(evidenceCode),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.001s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.001s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.019s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.154s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.092s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.001s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.002s,PASSED
println(parsingResponse),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.013s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.001s,PASSED
println(evidenceCode),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.001s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.002s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.002s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.015s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.300s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.063s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.002s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.007s,PASSED
println(parsingResponse),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.008s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.007s,PASSED
println(evidenceCode),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.004s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.002s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:23:22,2019-09-19 15:23:22,0.013s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:23:22,2019-09-19 15:23:23,0.781s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:23:23,2019-09-19 15:23:23,0.080s,PASSED
