Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PRUmed Benefit Limitation,,,,2019-09-19 15:28:28,2019-09-19 15:30:31,2m - 2.460s,INCOMPLETE
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:28,2019-09-19 15:28:31,2.393s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:29,2019-09-19 15:28:31,1.602s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.011s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.025s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.013s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.017s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.001s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.002s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.018s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.306s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.048s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.001s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.004s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.014s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.001s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.002s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.001s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.003s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:31,2019-09-19 15:28:32,0.355s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.061s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.001s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.002s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.017s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.002s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.003s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.002s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:31,2019-09-19 15:28:31,0.004s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:32,2019-09-19 15:28:32,0.619s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:32,2019-09-19 15:28:32,0.080s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:32,2019-09-19 15:28:32,0.000s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:32,2019-09-19 15:28:32,0.001s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:32,2019-09-19 15:28:32,0.173s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:32,2019-09-19 15:28:32,0.001s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:32,2019-09-19 15:28:32,0.001s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:32,2019-09-19 15:28:32,0.002s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:32,2019-09-19 15:28:32,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:32,2019-09-19 15:28:32,0.003s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:32,2019-09-19 15:28:33,0.705s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.060s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.000s,PASSED
