Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinancialNonEmployee_NonUltimate,,,,2019-08-27 17:06:53,2019-08-27 17:11:11,4m - 18.505s,INCOMPLETE
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE4/TC-1 USD FE4,,,,2019-08-27 17:06:53,2019-08-27 17:06:55,1.767s,PASSED
random = new java.util.Random(),,,,2019-08-27 17:06:53,2019-08-27 17:06:53,0.008s,PASSED
compareHighestValueFsaDeathVsAddccMax = 1875000,,,,2019-08-27 17:06:53,2019-08-27 17:06:53,0.001s,PASSED
compareHighestValueFsaDeathVsAddccMin = 625001,,,,2019-08-27 17:06:53,2019-08-27 17:06:53,0.001s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(compareHighestValueFsaDeathVsAddccMax - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 17:06:53,2019-08-27 17:06:53,0.003s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 17:06:53,2019-08-27 17:06:53,0.005s,PASSED
"comment(""Send request"")",,,,2019-08-27 17:06:53,2019-08-27 17:06:53,0.097s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 17:06:53,2019-08-27 17:06:55,1.129s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.013s,PASSED
parseResponse = slurper.parseText(response.getResponseText()),,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.035s,PASSED
println(parseResponse),,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.020s,PASSED
attributes = evidenceCode,,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.019s,PASSED
"expected = description == ""Butuh LSAR, ABR""",,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.007s,PASSED
"comment(""Verify evidence code is FE4 and have description ""Butuh LSAR, ABR"""")",,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.008s,PASSED
"verifyEqual(expected, true)",,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.020s,PASSED
"comment(""Verify response status code"")",,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.005s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.026s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.006s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE4/TC-1 USD FE4,,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.263s,PASSED
random = new java.util.Random(),,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.001s,PASSED
compareHighestValueFsaDeathVsAddccMax = 1875000,,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.001s,PASSED
compareHighestValueFsaDeathVsAddccMin = 625001,,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.001s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(compareHighestValueFsaDeathVsAddccMax - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.001s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.001s,PASSED
"comment(""Send request"")",,,,2019-08-27 17:06:55,2019-08-27 17:06:55,0.004s,PASSED
